ubicacion;modelo_nombre;host;sisOperativo;arquitectura;ram;Memoria RAM;RAM Tipo;almacenamiento;D.D Capacidad;HDD/SSD;procesador;serial;macEthernet;macWifi;sapVersion;estado;officeVersion
Edificio 1;Pro 3400 Series MT;klugo-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2152D2K;No Aplica;No Aplica;7.40;Resguardo;2013
Edificio 2 Planificación y Mantenimiento FIVE;Pro 3400 Series MT;pfive01-dsk;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3; HDD;;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz  ;MXL2281XS2    ;;No Aplica;7.70;Resguardo;2013
Edificio 1 Oficina Mtto Mecanico;Pro 3400 Series MT;MTTOMECA1-DSK;Windows 7 Professional ;x64; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Edificio 1 Oficina Mtto Mecanico;Pro 3400 Series MT;MttoMeca2-dsk;Windows 7 Professional ;x64; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Edificio 1 Oficina Mtto Electrico;Pro 3400 Series MT;mttoelec1-dsk;Windows 7 Professional ;x32; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Edificio 1 Oficina Mtto Electrico;Pro 3400 Series MT;MTTOELECT3-DSK;Windows 7 Professional ;x64; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Porton Principal;Pro 3500 Series MT;COORPCP-DSK;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 298.09 GB HDD;C: 298.09 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL32605SK;88:51:FB:57:61:1A;No Aplica;7.70;Resguardo;2013
Terminacion;Pro 3500 Series MT;operctp-dsk;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C:, D: 465.76 GB HDD;C:, D: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412BB4;24:BE:05:11:59:6B;No Aplica;7.40;Resguardo;2013
Terminacion;Pro 3500 Series MT;embalctp-dsk;Windows 10 Pro;x64;2 GB DDR3;2 GB;DDR3;C: 223.57 GB SSD;C: 223.57 GB;SSD;Intel(R) Pentium(R) CPU G645 @ 2.90GHz;MXL3160FT6;6C:3B:E5:2C:72:3F;No Aplica;7.70;Resguardo;2013
Terminacion;Pro 3500 Series MT;supctp-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2370FTP;24:BE:05:03:1E:67;No Aplica;7.40;Resguardo;2013
